connectionTime,dayOfMonth_c,dayOfWeek_c,monthOfYear_c,session_count_c
2019-02-19 21:30:00,19,1,2,1
2019-02-19 22:00:00,19,1,2,1
2019-02-19 22:30:00,19,1,2,3
2019-02-19 23:00:00,19,1,2,2
2019-02-19 23:30:00,19,1,2,1
2019-02-20 00:00:00,20,2,2,2
2019-02-20 00:30:00,20,2,2,1
2019-02-20 01:00:00,20,2,2,1
2019-02-20 03:30:00,20,2,2,1
2019-02-20 11:30:00,20,2,2,1
2019-02-20 13:00:00,20,2,2,1
2019-02-20 13:30:00,20,2,2,4
2019-02-20 14:00:00,20,2,2,7
2019-02-20 14:30:00,20,2,2,11
2019-02-20 15:00:00,20,2,2,17
2019-02-20 15:30:00,20,2,2,11
2019-02-20 17:00:00,20,2,2,1
2019-02-20 18:30:00,20,2,2,1
2019-02-20 19:00:00,20,2,2,1
2019-02-20 20:00:00,20,2,2,1
2019-02-20 20:30:00,20,2,2,2
2019-02-20 21:00:00,20,2,2,2
2019-02-20 21:30:00,20,2,2,1
2019-02-20 22:00:00,20,2,2,1
2019-02-20 22:30:00,20,2,2,3
2019-02-20 23:00:00,20,2,2,1
2019-02-20 23:30:00,20,2,2,2
2019-02-21 00:00:00,21,3,2,1
2019-02-21 00:30:00,21,3,2,1
2019-02-21 01:30:00,21,3,2,1
2019-02-21 02:00:00,21,3,2,1
2019-02-21 13:30:00,21,3,2,3
2019-02-21 14:00:00,21,3,2,10
2019-02-21 14:30:00,21,3,2,8
2019-02-21 15:00:00,21,3,2,13
2019-02-21 15:30:00,21,3,2,11
2019-02-21 16:00:00,21,3,2,7
2019-02-21 17:30:00,21,3,2,1
2019-02-21 18:00:00,21,3,2,1
2019-02-21 19:30:00,21,3,2,3
2019-02-21 20:00:00,21,3,2,1
2019-02-21 20:30:00,21,3,2,3
2019-02-21 21:30:00,21,3,2,1
2019-02-21 23:00:00,21,3,2,1
2019-02-21 23:30:00,21,3,2,3
2019-02-22 00:00:00,22,4,2,1
2019-02-22 00:30:00,22,4,2,2
2019-02-22 01:00:00,22,4,2,1
2019-02-22 02:00:00,22,4,2,1
2019-02-22 13:00:00,22,4,2,1
2019-02-22 13:30:00,22,4,2,5
2019-02-22 14:00:00,22,4,2,9
2019-02-22 14:30:00,22,4,2,9
2019-02-22 15:00:00,22,4,2,16
2019-02-22 15:30:00,22,4,2,11
2019-02-22 16:00:00,22,4,2,1
2019-02-22 17:00:00,22,4,2,1
2019-02-22 17:30:00,22,4,2,2
2019-02-22 18:00:00,22,4,2,1
2019-02-22 18:30:00,22,4,2,2
2019-02-22 19:30:00,22,4,2,6
2019-02-22 20:00:00,22,4,2,3
2019-02-22 22:00:00,22,4,2,2
2019-02-22 22:30:00,22,4,2,1
2019-02-22 23:00:00,22,4,2,3
2019-02-23 00:00:00,23,5,2,2
2019-02-23 01:30:00,23,5,2,1
2019-02-23 02:00:00,23,5,2,1
2019-02-23 03:30:00,23,5,2,1
2019-02-23 13:30:00,23,5,2,2
